Name,Salary in cr,Matches,Notouts,Runs,Avg,S/R,High Score,100s,50s,4s,6s,Overs,Maidens,Runs conceded,Wickets,Bowling Avg,Bowling S/R,Econ,5 Wkt Haul
Anmolpreet Singh,0.8,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Rohit Sharma,15.0,188,28,4898,31.6,130.82,109,1,36,431,194,55.2,0,440,15,29.33,22.13,7.95,0
Suryakumar Yadav,3.2,85,16,1544,28.07,131.62,72,0,7,160,47,1.0,0,8,0,0.0,0.0,8.0,0
Hardik Pandya,11.0,66,24,1068,28.86,154.78,91,0,3,72,68,144.5,0,1313,42,31.26,20.69,9.06,0
Kieron Pollard,5.4,148,39,2755,28.69,146.77,83,0,14,181,176,199.5,0,1770,56,31.6,21.41,8.85,0
Krunal Pandya,8.8,55,14,891,26.2,146.06,86,0,1,86,35,157.2,0,1128,40,28.2,23.6,7.16,0
Ishan Kishan,6.2,37,0,695,21.06,130.88,62,0,3,64,34,0.0,0,0,0,0.0,0.0,0.0,0
Quinton de Kock,2.8,50,2,1456,30.33,131.28,108,1,10,155,54,0.0,0,0,0,0.0,0.0,0.0,0
Jasprit Bumrah,7.0,77,9,35,11.66,92.1,16,0,0,2,1,288.4,3,2183,82,26.62,21.12,7.56,0
Jayant Yadav,0.5,12,0,6,3.0,60.0,5,0,0,0,0,37.0,0,246,5,49.2,44.4,6.64,0
Lasith Malinga,2.0,122,9,88,5.5,88.88,17,0,0,6,5,471.1,8,3365,170,19.76,16.62,7.14,1
Mitchell McClenaghan,1.0,56,11,85,6.53,121.42,20,0,0,5,7,212.2,1,1803,71,25.39,17.96,8.49,0
Rahul Chahar,1.9,16,3,15,7.5,115.38,10,0,0,2,0,54.0,0,366,15,24.4,21.6,6.77,0
Aditya Tare,0.2,35,4,339,14.12,124.17,59,0,0,40,11,0.0,0,0,0,0.0,0.0,0.0,0
Ankul Roy,0.2,1,0,0,0.0,0.0,0,0,0,0,0,2.0,0,11,1,11.0,12.0,5.5,0
Sherfane Rutherford,2.0,7,2,73,14.6,135.18,28,0,0,2,7,6.5,0,59,1,59.0,41.0,8.63,0
Dhawal Kulkarni,0.75,90,12,101,11.22,95.28,28,0,0,7,2,290.5,8,2404,86,27.95,20.29,8.27,0
Trent Boult,3.2,33,3,12,6.0,85.71,6,0,0,0,1,127.3,1,1120,38,29.47,20.13,8.78,0
Saurabh Tiwary,0.5,81,19,1276,28.35,119.58,61,0,7,93,45,0.0,0,0,0,0.0,0.0,0.0,0
Nathan Coulter-Nile,8.0,26,4,52,5.77,104.0,9,0,0,3,4,93.5,1,719,36,19.97,15.64,7.66,0
Chris Lynn,2.0,41,3,1280,33.68,140.66,93,0,10,128,63,0.0,0,0,0,0.0,0.0,0.0,0
Mohsin Khan,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Prince Balwant,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Digvijay Deshmukh,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
